year;gender;firstname;lastname;country
1985;f;Martina ;Navratilova;13
1986;f;Martina ;Navratilova;13
1987;f;Martina ;Navratilova;13
1988;f;Steffi ;Graf;4
1989;f;Steffi ;Graf;4
1990;f;Martina ;Navratilova;13
1991;f;Steffi ;Graf;4
1992;f;Steffi ;Graf;4
1993;f;Steffi ;Graf;4
1994;f;Conchita ;Martinez;9
1995;f;Steffi ;Graf;4
1996;f;Steffi ;Graf;4
1997;f;Martina ;Hingis;15
1998;f;Jana ;Novotna;16
1999;f;Lindsay ;Davenport;13
2000;f;Venus ;Williams;13
2001;f;Venus ;Williams;13
2002;f;Serena ;Williams;13
2003;f;Serena ;Williams;13
2004;f;Maria ;Scharapowa;16
2005;f;Venus ;Williams;13
2006;f;Amelie ;Mauresmo;3
2007;f;Venus ;Williams;13
2008;f;Venus ;Williams;13
2009;f;Serena ;Williams;13
2010;f;Serena ;Williams;13
2011;f;Petra ;Kvitova;17
2012;f;Serena ;Williams;13
2013;f;Marion ;Bartoli;3
2014;f;Petra ;Kvitova;17
2015;f;Serena ;Williams;13
2016;f;Serena ;Williams;13
2017;f;Garbine ;Muguruza;9
2018;f;Angelique ;Kerber;4
1985;m;Boris ;Becker;4
1986;m;Boris ;Becker;4
1987;m;Pat ;Cash;14
1988;m;Stefan ;Edberg;18
1989;m;Boris ;Becker;4
1990;m;Stefan ;Edberg;18
1991;m;Michael ;Stich;4
1992;m;Andre ;Agassi;13
1993;m;Pete ;Sampras;13
1994;m;Pete ;Sampras;13
1995;m;Pete ;Sampras;13
1996;m;Richard ;Krajicek;19
1997;m;Pete ;Sampras;13
1998;m;Pete ;Sampras;13
1999;m;Pete ;Sampras;13
2000;m;Pete ;Sampras;13
2001;m;Goran ;Ivanisevic;20
2002;m;Lleyton ;Hewitt;14
2003;m;Roger ;Federer;15
2004;m;Roger ;Federer;15
2005;m;Roger ;Federer;15
2006;m;Roger ;Federer;15
2007;m;Roger ;Federer;15
2008;m;Rafael ;Nadal;9
2009;m;Roger ;Federer;15
2010;m;Rafael ;Nadal;9
2011;m;Novak ;Djokovic;21
2012;m;Roger ;Federer;15
2013;m;Andy ;Murray;11
2014;m;Novak ;Djokovic;21
2015;m;Novak ;Djokovic;21
2016;m;Andy ;Murray;11
2017;m;Roger ;Federer;15
2018;m;Novak ;Djokovic;21
